"Query"	"Date"	"Hits"	"Percentage"	"Total Crawled"
"content_type:""image/gif"""	"1996"	"247740"	"29.61802857313647"	"836450"
"content_type:""image/gif"""	"1997"	"1818463"	"21.135255369289297"	"8603932"
"content_type:""image/gif"""	"1998"	"1119479"	"17.56850747903588"	"6372078"
"content_type:""image/gif"""	"1999"	"242785"	"1.6093430922468421"	"15085969"
"content_type:""image/gif"""	"2000"	"3300448"	"6.755199067728953"	"48857894"
"content_type:""image/gif"""	"2001"	"6060274"	"7.634367036162563"	"79381486"
"content_type:""image/gif"""	"2002"	"7222571"	"6.652834066095848"	"108563823"
"content_type:""image/gif"""	"2003"	"10552524"	"5.336213531918001"	"197753031"
"content_type:""image/gif"""	"2004"	"10716394"	"3.1951133379017165"	"335399495"
"content_type:""image/gif"""	"2005"	"5890241"	"2.2022478003108525"	"267464951"
"content_type:""image/gif"""	"2006"	"13590251"	"5.688712621772357"	"238898533"
"content_type:""image/gif"""	"2007"	"10506010"	"3.8177481031704126"	"275188664"
"content_type:""image/gif"""	"2008"	"1785987"	"0.6665797543848465"	"267932980"
"content_type:""image/gif"""	"2009"	"683350"	"0.5706170139764887"	"119756331"
"content_type:""image/gif"""	"2010"	"2579192"	"1.3136375240092806"	"196339702"
